accD	atpA	atpB	atpE	atpF	atpH	atpI	ccsA	cemA	chlI	clpP	infA	petA	petB	petD	petG	petL	psaA	psaB	psaC	psaI	psaJ	psaM	psbA	psbB	psbC	psbD	psbE	psbF	psbH	psbI	psbJ	psbK	psbL	psbM	psbN	psbT	psbZ	rbcL	rpl12	rpl14	rpl16	rpl19	rpl2	rpl20	rpl23	rpl32	rpl36	rpl5	rpoA	rpoB	rpoC1	rpoC2	rps11	rps12	rps14	rps18	rps19	rps2	rps3	rps4	rps7	rps8	rps9	tufA	ycf1	ycf12	ycf20	ycf3	ycf4	cp_mt_ML	atp1	atp4	atp6	atp8	atp9	cob	cox1	cox2	cox3	nad1	nad2	nad3	nad4	nad4L	nad5	nad6	nad7	rpl14 	rpl16 	rpl5 	rps10	rps11 	rps12 	rps13	rps14 	rps19 	rps2 	rps3 	rps4 
rpl16	26	34	32	32	24	40	30	30	32	28	36	38	28	32	34	52	28	24	18	36	56	42	36	44	28	26	26	46	50	30	52	54	52	54	52	48	46	42	20	28	38	0	14	22	34	30	34	32	30	26	26	18	18	28	18	34	38	32	24	30	32	34	36	32	22	26	54	32	24	32	26	16	16	18	14	28	20	20	18	22	22	18	28	18	28	20	22	18	24	18	16	10	22	20	18	14	18	14	8	16
rpl19	22	26	28	26	20	40	24	26	28	20	32	34	24	28	32	48	26	18	14	34	56	40	36	38	22	26	18	44	48	30	48	52	50	54	50	48	46	42	22	24	34	14	0	24	32	28	32	34	28	20	22	12	16	22	16	28	34	30	20	28	26	30	28	28	18	20	54	26	20	28	20	10	12	14	10	22	16	14	12	20	14	14	20	14	20	16	18	12	18	12	12	8	20	16	16	12	14	10	8	14
rpl2	30	32	34	28	30	42	28	30	28	30	30	36	26	32	36	48	26	22	16	34	48	42	34	42	28	30	30	44	48	32	46	58	46	56	54	46	46	38	22	34	30	22	24	0	34	34	28	34	30	24	24	16	12	26	18	34	42	32	22	22	32	32	34	32	30	20	54	32	24	28	24	14	14	14	14	28	14	20	20	18	16	16	26	18	24	18	18	16	22	18	16	4	22	14	16	12	14	14	10	16
rpl20	36	34	30	40	28	42	42	40	38	34	40	40	32	40	34	50	34	30	26	42	54	44	38	48	32	32	34	50	50	46	52	58	56	60	56	48	46	52	32	36	40	34	32	34	0	38	38	44	38	34	26	32	16	40	30	36	32	38	34	34	40	44	44	32	34	34	52	34	32	34	34	22	20	24	22	34	20	18	28	28	28	28	26	22	28	30	30	28	30	28	26	14	30	26	28	16	22	22	14	24
rpl23	26	34	36	38	26	40	26	20	32	24	30	34	24	22	26	44	22	26	30	38	52	42	36	36	30	32	24	38	46	32	40	48	50	48	48	44	44	44	28	14	34	30	28	34	38	0	30	32	24	30	28	26	20	26	24	36	30	30	28	34	30	30	28	34	28	26	52	24	30	22	28	10	18	18	16	16	18	12	10	14	14	16	16	16	26	14	14	16	20	14	14	8	16	14	14	14	18	10	8	14
rpl32	36	32	38	34	36	38	34	34	34	34	34	30	26	38	36	42	34	34	32	38	44	40	40	42	34	34	32	44	44	36	46	50	44	50	48	40	48	44	32	30	36	34	32	28	38	30	0	34	28	30	30	30	30	28	32	38	40	32	26	36	36	30	32	36	36	34	42	36	28	32	30	20	16	20	12	24	22	14	18	18	20	20	26	24	26	20	14	20	20	20	20	14	22	22	12	12	14	18	6	10
rpl36	32	34	36	38	34	36	34	32	30	36	30	40	28	42	36	48	26	32	32	32	56	44	40	38	36	34	34	48	50	36	48	52	52	54	52	46	46	44	32	36	34	32	34	34	44	32	34	0	30	32	32	24	22	38	28	38	40	32	32	34	42	32	28	36	32	34	54	32	28	32	32	22	20	20	20	24	24	22	24	24	24	22	30	22	30	22	24	22	26	22	20	10	24	22	20	14	22	20	12	20
rpl5	28	34	32	28	28	38	26	22	24	24	24	32	24	28	28	38	18	28	30	32	44	38	28	26	26	32	26	40	40	30	36	40	44	44	44	40	40	40	30	24	26	30	28	30	38	24	28	30	0	24	26	22	22	24	28	28	34	34	28	32	30	30	22	36	30	30	46	24	22	24	22	12	12	18	18	12	18	20	14	14	16	18	14	18	24	16	16	18	24	16	16	6	16	14	16	12	18	14	14	12
rpoA	22	16	22	26	22	36	22	24	18	18	24	34	18	26	30	44	26	12	14	26	52	38	34	34	18	18	24	34	44	30	40	50	48	50	48	44	44	44	26	26	26	26	20	24	34	30	30	32	24	0	16	8	8	20	14	30	36	36	18	20	24	22	26	28	20	8	54	22	20	24	10	6	10	12	10	22	12	16	12	14	12	12	18	8	20	14	18	12	18	12	10	2	18	12	14	10	14	8	8	12
rpoB	24	20	20	24	20	38	26	28	22	16	22	30	18	24	28	42	28	14	16	30	50	36	34	34	14	10	18	36	44	34	40	50	46	50	48	44	42	42	22	26	30	26	22	24	26	28	30	32	26	16	0	12	6	22	16	28	32	32	18	24	24	26	26	24	20	12	52	22	20	26	16	6	8	14	10	20	8	12	14	20	10	12	18	12	20	14	18	12	16	14	10	4	18	12	16	6	12	8	8	14
rpoC1	18	20	22	20	18	36	18	20	22	16	24	32	18	26	30	44	24	10	8	28	50	36	34	34	16	20	20	38	44	28	42	50	46	50	46	42	44	34	22	24	26	18	12	16	32	26	30	24	22	8	12	0	8	20	14	26	34	28	16	18	24	26	22	26	18	10	50	22	16	20	10	10	10	14	10	22	14	16	12	18	16	14	18	14	20	16	18	14	20	12	12	4	20	16	16	10	14	10	8	12
rpoC2	12	12	14	14	10	26	20	20	16	12	16	26	16	20	20	36	26	4	2	20	40	28	30	28	10	12	14	30	34	24	32	42	36	42	40	32	40	32	12	22	18	18	16	12	16	20	30	22	22	8	6	8	0	20	10	16	22	22	12	10	20	22	20	14	14	6	42	20	12	14	8	10	6	10	10	18	8	12	16	16	12	14	14	10	18	16	16	14	18	14	14	4	18	14	16	2	10	12	10	12
